iter	RMSE
0	0.1717183924
1	0.1599966562
2	0.149575985
3	0.1405958202
4	0.1324084926
5	0.1250199409
6	0.1192358352
7	0.1137348244
8	0.108780453
9	0.1045848984
10	0.1008106053
11	0.0975621123
12	0.09471455153
13	0.09233467412
14	0.08985539649
15	0.08773323076
16	0.08578745325
17	0.0842494517
18	0.08299157509
19	0.08179156243
20	0.08055606628
21	0.07946663588
22	0.07852619664
23	0.07778962268
24	0.07710402101
25	0.076462287
26	0.07583048894
27	0.07527996185
28	0.07482506153
29	0.07430703088
30	0.07389725016
31	0.07358163405
32	0.07316934886
33	0.07287019756
34	0.07259173642
35	0.07221598795
36	0.07171777767
37	0.07136831223
38	0.07094537946
39	0.07077764777
40	0.07041949068
41	0.07006421447
42	0.06984909431
43	0.06969041304
44	0.06945227089
45	0.0692665048
46	0.0691012476
47	0.06887377139
48	0.06869455208
49	0.06856730967
50	0.06844285845
51	0.06829324709
52	0.06804079311
53	0.06785010242
54	0.06772120154
55	0.06756634706
56	0.06732392195
57	0.06700222374
58	0.06692595334
59	0.0667618382
60	0.06661167482
61	0.06636017214
62	0.06625953696
63	0.06607088486
64	0.06586285718
65	0.06568021893
66	0.06555313656
67	0.06545747691
68	0.0653546146
69	0.06522793914
70	0.06503233704
71	0.06491096812
72	0.06472402942
73	0.06458376786
74	0.06444281762
75	0.064292701
76	0.06417126152
77	0.06408088637
78	0.06394733433
79	0.06380622744
80	0.0636754287
81	0.06351807779
82	0.0633780354
83	0.06324561951
84	0.06309834697
85	0.06301466555
86	0.06286483679
87	0.06282258031
88	0.06269072398
89	0.06256368017
90	0.06244435886
91	0.06237029798
92	0.06223764596
93	0.06214907514
94	0.06205154079
95	0.06190244471
96	0.06183961211
97	0.06171630795
98	0.0616149962
99	0.06145925337
100	0.06142073614
101	0.06128908823
102	0.06120602557
103	0.06113160867
104	0.06095446642
105	0.06086989471
106	0.0608218454
107	0.06070433928
108	0.06066658192
109	0.06056008327
110	0.06038389294
111	0.06026547349
112	0.06014360652
113	0.06004909179
114	0.05991250581
115	0.05983308397
116	0.05968196195
117	0.05956901235
118	0.05940789306
119	0.05933919392
120	0.05926552892
121	0.05913661356
122	0.05903783752
123	0.0589250364
124	0.05886543396
125	0.05883141294
126	0.05874886613
127	0.05866732472
128	0.0585498087
129	0.05846936833
130	0.05841107626
131	0.05832769588
132	0.05823484287
133	0.05813668691
134	0.05803435762
135	0.0579489429
136	0.05787338577
137	0.05776256319
138	0.05766777188
139	0.05758635055
140	0.05747910383
141	0.05743386806
142	0.05732795491
143	0.05719010221
144	0.05713324098
145	0.05701185535
146	0.05693385376
147	0.05681694477
148	0.05676642361
149	0.0566948803
150	0.0566132353
151	0.05652924004
152	0.05646673046
153	0.05640255047
154	0.05628013049
155	0.05617182169
156	0.05610883716
157	0.05604502857
158	0.05601921623
159	0.05596014504
160	0.05585272859
161	0.05579984508
162	0.05567853575
163	0.05557779543
164	0.05554275548
165	0.05547760778
166	0.05540563418
167	0.05534585657
168	0.0552478279
169	0.05515280102
170	0.05512086834
171	0.05504560231
172	0.0550054285
173	0.05497425954
174	0.0549520123
175	0.05490322346
176	0.05481534544
177	0.05474211043
178	0.05461484809
179	0.05456500466
180	0.05448564216
181	0.05441454964
182	0.05432720535
183	0.05422019343
184	0.05415017621
185	0.05410061393
186	0.05402690076
187	0.05390489624
188	0.05385717757
189	0.05381957118
190	0.0537599982
191	0.05370333736
192	0.05364642411
193	0.05357199404
194	0.05354658791
195	0.05349637314
196	0.05346387095
197	0.05338209788
198	0.05329000592
199	0.05322824797
