iter	Passed	Remaining
408	5016	4795
409	5027	4782
410	5039	4769
411	5051	4757
412	5063	4744
413	5074	4731
414	5085	4718
415	5097	4705
416	5108	4692
417	5121	4679
418	5132	4666
419	5144	4654
420	5156	4641
421	5169	4630
422	5182	4618
423	5195	4607
424	5207	4595
425	5219	4582
426	5230	4568
427	5241	4555
428	5252	4542
429	5263	4528
430	5275	4516
431	5285	4502
432	5296	4489
433	5308	4476
434	5320	4464
435	5330	4450
436	5344	4439
437	5357	4428
438	5369	4415
439	5382	4403
440	5393	4390
441	5405	4377
442	5416	4365
443	5428	4352
444	5440	4340
445	5451	4327
446	5464	4315
447	5476	4302
448	5486	4289
449	5497	4276
450	5509	4263
451	5522	4251
452	5533	4238
453	5544	4225
454	5555	4212
455	5568	4200
456	5581	4188
457	5592	4176
458	5604	4164
459	5617	4151
460	5628	4138
461	5640	4126
462	5651	4113
463	5663	4100
464	5674	4087
465	5685	4075
466	5697	4062
467	5708	4049
468	5718	4036
469	5729	4022
470	5740	4009
471	5751	3997
472	5763	3984
473	5774	3971
474	5786	3959
475	5799	3947
476	5810	3934
477	5822	3922
478	5833	3909
479	5845	3896
480	5856	3883
481	5868	3871
482	5880	3859
483	5893	3847
484	5904	3834
485	5915	3821
486	5926	3809
487	5938	3796
488	5949	3783
489	5961	3771
490	5971	3758
491	5983	3745
492	5994	3732
493	6005	3719
494	6017	3707
495	6028	3694
496	6040	3682
497	6051	3669
498	6063	3657
499	6074	3644
500	6085	3632
501	6097	3619
502	6108	3606
503	6119	3594
504	6132	3582
505	6143	3569
506	6156	3558
507	6169	3546
508	6181	3533
509	6193	3521
510	6206	3509
511	6218	3497
512	6231	3486
513	6242	3473
514	6253	3460
515	6265	3448
516	6276	3435
517	6288	3423
518	6300	3411
519	6310	3398
520	6321	3385
521	6332	3372
522	6343	3359
523	6354	3347
524	6366	3334
525	6378	3322
526	6390	3310
527	6402	3298
528	6414	3285
529	6424	3273
530	6436	3260
531	6447	3248
532	6459	3235
533	6470	3223
534	6482	3210
535	6493	3198
536	6504	3185
537	6515	3172
538	6526	3160
539	6537	3147
540	6554	3137
541	6570	3127
542	6586	3117
543	6601	3106
544	6618	3096
545	6636	3087
546	6654	3077
547	6674	3069
548	6688	3057
549	6704	3047
550	6719	3036
551	6737	3026
552	6753	3016
553	6769	3005
554	6783	2994
555	6796	2982
556	6810	2971
557	6825	2960
558	6839	2948
559	6851	2936
560	6862	2923
561	6874	2911
562	6886	2899
563	6898	2886
564	6910	2874
565	6922	2861
566	6932	2848
567	6944	2836
568	6956	2823
569	6969	2812
570	6980	2799
571	6992	2787
572	7004	2774
573	7015	2762
574	7026	2749
575	7037	2736
576	7048	2724
577	7059	2711
578	7071	2699
579	7082	2686
580	7094	2674
581	7105	2661
582	7118	2649
583	7129	2636
584	7143	2625
585	7155	2612
586	7168	2601
587	7180	2588
588	7191	2576
589	7203	2564
590	7215	2551
591	7230	2540
592	7242	2527
593	7253	2515
594	7263	2502
595	7275	2490
596	7286	2477
597	7297	2465
598	7308	2452
599	7319	2439
600	7331	2427
601	7347	2416
602	7362	2405
603	7378	2394
604	7395	2383
605	7414	2373
606	7429	2362
607	7444	2351
608	7459	2339
609	7476	2328
610	7493	2317
611	7509	2306
612	7528	2296
613	7540	2284
614	7552	2271
615	7565	2259
616	7576	2247
617	7588	2234
618	7599	2222
619	7611	2209
620	7622	2197
621	7634	2184
622	7645	2172
623	7657	2159
624	7669	2147
625	7680	2134
626	7692	2122
627	7703	2109
628	7715	2097
629	7726	2084
630	7737	2072
631	7749	2059
632	7760	2047
633	7771	2034
634	7783	2022
635	7795	2010
636	7806	1997
637	7817	1985
638	7830	1972
639	7841	1960
640	7858	1949
641	7873	1937
642	7889	1926
643	7906	1915
644	7922	1903
645	7938	1892
646	7953	1880
647	7972	1870
648	7988	1858
649	8005	1847
650	8021	1835
651	8037	1824
652	8054	1813
653	8070	1801
654	8087	1790
655	8103	1778
656	8117	1766
657	8131	1754
658	8143	1742
659	8155	1730
660	8168	1717
661	8181	1705
662	8193	1693
663	8204	1680
664	8215	1667
665	8226	1655
666	8238	1642
667	8249	1630
668	8262	1617
669	8273	1605
670	8284	1592
671	8295	1580
672	8314	1568
673	8330	1557
674	8346	1545
675	8362	1533
676	8379	1522
677	8396	1510
678	8414	1499
679	8431	1487
680	8448	1476
681	8465	1464
682	8481	1452
683	8498	1441
684	8514	1429
685	8532	1417
686	8547	1405
687	8561	1393
