iter	Passed	Remaining
407	5662	5440
408	5675	5426
409	5688	5411
410	5701	5396
411	5714	5382
412	5728	5367
413	5741	5352
414	5754	5338
415	5767	5324
416	5780	5309
417	5793	5294
418	5807	5280
419	5820	5266
420	5834	5252
421	5847	5237
422	5860	5223
423	5874	5209
424	5887	5195
425	5900	5180
426	5913	5166
427	5927	5152
428	5941	5138
429	5954	5123
430	5967	5109
431	5980	5094
432	5994	5080
433	6007	5066
434	6021	5052
435	6035	5038
436	6048	5023
437	6061	5009
438	6074	4995
439	6088	4981
440	6101	4967
441	6115	4953
442	6129	4939
443	6142	4924
444	6155	4910
445	6169	4896
446	6182	4882
447	6197	4869
448	6211	4855
449	6224	4841
450	6238	4827
451	6251	4813
452	6264	4798
453	6278	4784
454	6291	4770
455	6304	4755
456	6318	4742
457	6331	4728
458	6345	4714
459	6359	4700
460	6372	4685
461	6385	4671
462	6398	4657
463	6411	4642
464	6425	4628
465	6438	4614
466	6451	4600
467	6465	4586
468	6478	4572
469	6491	4557
470	6504	4543
471	6518	4529
472	6531	4515
473	6545	4501
474	6558	4487
475	6572	4473
476	6585	4459
477	6598	4444
478	6612	4431
479	6625	4417
480	6639	4403
481	6653	4389
482	6667	4375
483	6679	4361
484	6693	4347
485	6707	4333
486	6721	4319
487	6734	4305
488	6747	4291
489	6760	4277
490	6773	4262
491	6786	4248
492	6800	4234
493	6813	4220
494	6827	4206
495	6840	4192
496	6853	4178
497	6866	4163
498	6879	4149
499	6893	4135
500	6906	4122
501	6920	4108
502	6933	4094
503	6946	4079
504	6960	4066
505	6973	4051
506	6986	4037
507	7000	4023
508	7014	4010
509	7028	3996
510	7041	3982
511	7054	3968
512	7067	3954
513	7081	3940
514	7094	3925
515	7108	3912
516	7121	3898
517	7135	3884
518	7148	3870
519	7162	3856
520	7175	3842
521	7188	3828
522	7202	3814
523	7215	3800
524	7228	3786
525	7241	3772
526	7254	3758
527	7268	3744
528	7280	3729
529	7293	3715
530	7307	3701
531	7320	3687
532	7333	3673
533	7347	3659
534	7360	3645
535	7373	3631
536	7386	3617
537	7401	3604
538	7415	3590
539	7429	3576
540	7441	3562
541	7455	3549
542	7468	3534
543	7482	3520
544	7495	3506
545	7508	3492
546	7521	3478
547	7535	3465
548	7548	3451
549	7561	3437
550	7574	3422
551	7587	3408
552	7600	3394
553	7614	3381
554	7627	3367
555	7641	3353
556	7654	3339
557	7667	3325
558	7681	3311
559	7694	3297
560	7707	3283
561	7721	3269
562	7734	3255
563	7748	3242
564	7761	3228
565	7774	3214
566	7788	3200
567	7801	3186
568	7815	3172
569	7827	3158
570	7840	3144
571	7854	3130
572	7867	3116
573	7880	3102
574	7894	3089
575	7907	3075
576	7921	3061
577	7935	3047
578	7948	3033
579	7962	3020
580	7976	3006
581	7990	2992
582	8004	2979
583	8017	2965
584	8030	2951
585	8043	2937
586	8057	2923
587	8070	2909
588	8083	2895
589	8097	2881
590	8110	2868
591	8124	2854
592	8137	2840
593	8150	2826
594	8165	2813
595	8178	2799
596	8192	2785
597	8206	2772
598	8219	2758
599	8233	2744
600	8247	2730
601	8260	2716
602	8273	2702
603	8286	2688
604	8300	2675
605	8313	2661
606	8326	2647
607	8340	2633
608	8353	2619
609	8366	2605
610	8379	2592
611	8393	2578
612	8407	2564
613	8420	2550
614	8432	2536
615	8446	2522
616	8459	2509
617	8472	2495
618	8486	2481
619	8500	2467
620	8513	2453
621	8526	2439
622	8539	2426
623	8552	2412
624	8566	2398
625	8579	2384
626	8592	2370
627	8606	2357
628	8620	2343
629	8633	2329
630	8647	2316
631	8660	2302
632	8673	2288
633	8686	2274
634	8700	2260
635	8713	2246
636	8726	2233
637	8740	2219
638	8753	2205
639	8766	2191
640	8780	2177
641	8793	2164
642	8806	2150
643	8819	2136
644	8832	2122
645	8845	2108
646	8858	2094
647	8872	2081
648	8885	2067
649	8898	2053
650	8911	2039
651	8924	2025
652	8937	2011
653	8950	1998
654	8964	1984
655	8978	1970
656	8991	1957
657	9005	1943
658	9018	1929
659	9032	1915
660	9045	1902
661	9059	1888
662	9073	1874
663	9087	1861
664	9099	1847
665	9113	1833
666	9126	1819
667	9140	1806
668	9153	1792
669	9166	1778
670	9180	1764
671	9193	1751
672	9206	1737
673	9219	1723
674	9232	1709
675	9245	1695
676	9259	1682
677	9273	1668
678	9286	1654
679	9299	1641
680	9312	1627
681	9326	1613
682	9339	1599
683	9353	1586
684	9366	1572
685	9380	1558
686	9394	1545
687	9408	1531
688	9421	1517
689	9435	1504
690	9449	1490
691	9462	1476
692	9475	1463
693	9488	1449
694	9502	1435
